id,title,year,year_end,lat,lon,origin_location,region_group,time_context,mechanism_type,purpose,scale,sensory_mode,accuracy_level,portability,caption,image,thumb,__key
person_jean_antoine_lepine,Jean‑Antoine Lépine,1720,1814.0,48.8566,2.3522,"Paris, France",Europe,Personal & wearable,,,,,,,"Created the thin Lépine calibre (bridge layout, no fusee), shaping the modern pocket‑watch architecture.",images/people/jean_antoine_lepine_image.jpg,images/people/jean_antoine_lepine_thumb.jpg,jean‑antoine lépine
person_josiah_emery,Josiah Emery,1725,1797.0,51.5074,-0.1278,"London, England",Europe,Personal & wearable,,,,,,,Early lever‑escapement chronometers with high finishing; Swiss expatriate advancing English chronometry.,images/people/josiah_emery_image.jpg,images/people/josiah_emery_thumb.jpg,josiah emery
person_ferdinand_berthoud,Ferdinand Berthoud,1727,1807.0,48.8566,2.3522,"Paris, France",Europe,Navigation & maritime,,,,,,,Pioneer of French marine timekeepers; prolific author integrating science and craftsmanship.,images/people/ferdinand_berthoud_image.jpg,images/people/ferdinand_berthoud_thumb.jpg,ferdinand berthoud
person_john_arnold,John Arnold,1736,1799.0,51.5074,-0.1278,"London, England",Europe,Navigation & maritime,,,,,,,Industrialized marine chronometers (Royal Navy); bimetallic balance and helical springs; rival of Earnshaw.,images/people/john_arnold_image.jpg,images/people/john_arnold_thumb.jpg,john arnold
person_abraham_louis_breguet,Abraham‑Louis Breguet,1747,1823.0,48.8566,2.3522,"Paris, France",Europe,Personal & wearable,,,,,,,"Invented/advanced tourbillon, subscription watches, gong springs; iconic Breguet design language.",images/people/abraham_louis_breguet_image.jpg,images/people/abraham_louis_breguet_thumb.jpg,abraham‑louis breguet
person_henri_louis_jaquet_droz,Henri‑Louis Jaquet‑Droz,1752,1791.0,46.989,6.929,"La Chaux‑de‑Fonds, Switzerland",Europe,Public & civic,,,,,,,"Automata maker (Writer, Musician, Draughtsman) and luxury export pioneer; art‑mechanics synthesis.",images/people/henri_louis_jaquet_droz_image.jpg,images/people/henri_louis_jaquet_droz_thumb.jpg,henri‑louis jaquet‑droz
person_louis_benjamin_audemars,Louis‑Benjamin Audemars,1782,1833.0,46.607,6.331,"Le Brassus, Switzerland",Europe,Industrial & lab,,,,,,,Founded an early integrated Vallée de Joux workshop; groundwork for Audemars family excellence.,images/people/louis_benjamin_audemars_image.jpg,images/people/louis_benjamin_audemars_thumb.jpg,louis‑benjamin audemars
person_pierre_frederic_ingold,Pierre‑Frédéric Ingold,1787,1878.0,47.099,6.825,"La Chaux‑de‑Fonds, Switzerland",Europe,Industrial & lab,,,,,,,Advocated mechanization of watchmaking in Europe/UK/US; anticipated mass‑production methods.,images/people/pierre_frederic_ingold_image.jpg,images/people/pierre_frederic_ingold_thumb.jpg,pierre‑frédéric ingold
person_honore_de_balzac,Honoré de Balzac,1799,1850.0,48.8566,2.3522,"Paris, France",Europe,Public & civic,,,,,,,Canonized the Breguet watch as a modern status symbol within 19th‑century literature.,images/people/honore_de_balzac_image.jpg,images/people/honore_de_balzac_thumb.jpg,honoré de balzac
person_hisashige_tanaka,Hisashige Tanaka,1799,1881.0,33.296,130.515,"Kurume, Japan",East Asia,Public & civic,,,,,,,Karakuri automata master; built the Myriad Year Clock (1851); later co‑founded the firm that became Toshiba.,images/people/hisashige_tanaka_image.jpg,images/people/hisashige_tanaka_thumb.jpg,hisashige tanaka
person_jules_jurgensen,Jules Jürgensen,1808,1877.0,47.056,6.75,"Le Locle, Switzerland",Europe,Personal & wearable,,,,,,,Innovative escapements and finishing; helped set high standards across the Jura arc.,images/people/jules_jurgensen_image.jpg,images/people/jules_jurgensen_thumb.jpg,jules jürgensen
person_adrien_philippe,Adrien Philippe,1815,1894.0,46.204,6.143,"Geneva, Switzerland",Europe,Personal & wearable,,,,,,,Popularized crown winding (keyless works); co‑founded Patek Philippe; standardized calibres in Geneva.,images/people/adrien_philippe_image.jpg,images/people/adrien_philippe_thumb.jpg,adrien philippe
person_henri_robert_ekegren,Henri‑Robert Ekegren,1823,1896.0,46.204,6.143,"Geneva, Switzerland",Europe,Personal & wearable,,,,,,,Prize‑winning chronometers and chronographs; finishing and lubrication innovations.,images/people/henri_robert_ekegren_image.jpg,images/people/henri_robert_ekegren_thumb.jpg,henri‑robert ekegren
person_edouard_koehn,Édouard Koehn,1839,1908.0,46.204,6.143,"Geneva, Switzerland",Europe,Industrial & lab,,,,,,,Director/shareholder at Patek Philippe; later founded his own firm; patented retrograde chronograph display.,images/people/edouard_koehn_image.jpg,images/people/edouard_koehn_thumb.jpg,édouard koehn
person_paul_ditisheim,Paul Ditisheim,1868,1945.0,46.989,6.929,"La Chaux‑de‑Fonds, Switzerland",Europe,Industrial & lab,,,,,,,Set observatory chronometry records; researched magnetism/temperature effects with C.-É. Guillaume.,images/people/paul_ditisheim_image.jpg,images/people/paul_ditisheim_thumb.jpg,paul ditisheim
person_antoine_lecoultre,Antoine LeCoultre,1803,1881.0,46.616,6.232,"Le Sentier, Switzerland",Europe,Industrial & lab,,,,,,,Founded LeCoultre; micrometer and keyless winding innovations; base for Jaeger‑LeCoultre.,images/people/antoine_lecoultre_image.jpg,images/people/antoine_lecoultre_thumb.jpg,antoine lecoultre
person_ulysse_nardin,Ulysse Nardin,1823,1876.0,47.056,6.75,"Le Locle, Switzerland",Europe,Navigation & maritime,,,,,,,Marine chronometers and deck watches; established a Le Locle chronometry signature.,images/people/ulysse_nardin_image.jpg,images/people/ulysse_nardin_thumb.jpg,ulysse nardin
person_charles_edouard_guillaume,Charles Édouard Guillaume,1861,1938.0,48.822,2.229,"Sèvres, France",Europe,Industrial & lab,,,,,,,"Developed Invar and Elinvar alloys, stabilizing oscillators; Nobel Prize in Physics 1920.",images/people/charles_edouard_guillaume_image.jpg,images/people/charles_edouard_guillaume_thumb.jpg,charles édouard guillaume
person_albert_einstein,Albert Einstein,1879,1955.0,46.948,7.447,"Bern, Switzerland",Europe,Scientific & observatory,,,,,,,Special (1905) and general relativity (1915) reframed time and synchronization in physics and technology.,images/people/albert_einstein_image.jpg,images/people/albert_einstein_thumb.jpg,albert einstein
person_jules_louis_audemars,Jules Louis Audemars,1851,1918.0,46.607,6.331,"Le Brassus, Switzerland",Europe,Industrial & lab,,,,,,,Co‑founded Audemars Piguet; advanced thin complications and high‑grade finishing.,images/people/jules_louis_audemars_image.jpg,images/people/jules_louis_audemars_thumb.jpg,jules louis audemars
person_edward_auguste_piguet,Edward Auguste Piguet,1853,1919.0,46.607,6.331,"Le Brassus, Switzerland",Europe,Industrial & lab,,,,,,,Co‑founded Audemars Piguet; pioneered high‑complication series production.,images/people/edward_auguste_piguet_image.jpg,images/people/edward_auguste_piguet_thumb.jpg,edward auguste piguet
person_jean_frederic_leschot,Jean‑Frédéric Leschot,1746,1824.0,46.204,6.143,"Geneva, Switzerland",Europe,Industrial & lab,,,,,,,Collaborated with Jaquet‑Droz on automata and export networks; standardized components.,images/people/jean_frederic_leschot_image.jpg,images/people/jean_frederic_leschot_thumb.jpg,jean‑frédéric leschot
person_georges_auguste_leschot,Georges‑Auguste Leschot,1802,1884.0,46.204,6.143,"Geneva, Switzerland",Europe,Industrial & lab,,,,,,,Industrialized interchangeable parts in watchmaking; the Leschot pantograph tool.,images/people/georges_auguste_leschot_image.jpg,images/people/georges_auguste_leschot_thumb.jpg,georges‑auguste leschot
